frame	label	cpu_addr	value	active_expected_match	record_snapshot
646	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1A6	81	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
648	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1A7	82	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
650	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1A8	83	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
652	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1A9	84	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
654	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1AA	85	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
656	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1AB	86	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
658	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1AC	87	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
660	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1AD	88	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
662	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1AE	C8	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
664	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1AF	C9	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
666	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1B0	00	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
668	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1B1	89	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
670	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1B2	8A	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
672	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1B3	8B	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
674	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1B4	8C	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
676	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1B5	00	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
678	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1B6	8D	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
680	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1B7	8E	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
682	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1B8	8F	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
684	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1B9	90	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
686	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1BA	91	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
688	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1BB	92	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
690	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1BC	CA	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
692	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1BD	F8	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
692	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1BE	93	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
694	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1BF	94	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
696	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1C0	95	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
698	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1C1	96	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
700	opening_ptr_182_korean_16x16_speaker_separator_proof	$B1C2	00	true	81 82 83 84 85 86 87 88 C8 C9 00 89 8A 8B 8C 00 8D 8E 8F 90 91 92 CA F8 93 94 95 96 00 97 98 99 9A C4 C5 00 C0 C1 C2 C3 C4 C5 C6 C7 CA 00 FF
