pointer_index,translation_status,english_text,korean_draft,compiled_display_text,basis,notes,failures,warnings
0,english_reference_reviewed,SO FIGHT ME OR I AIN T LETTING YOU PASS,그래 싸워라! 나와 싸우지 않으면 못 지나간다,그래 싸워라 나와 싸우지 않으면 못 지나간다,english_reference,영어 참조 의미 대조 완료,,
1,english_reference_reviewed,HOLY SHIT,젠장!,젠장,english_reference,영어 참조 의미 대조 완료,,
2,english_reference_reviewed,AH SO WE MEET AGAIN,"아, 또 만났군!",아 또 만났군,english_reference,영어 참조 의미 대조 완료,,
3,english_reference_reviewed,REMEMBER THOSE DUDES THEY RE THE ONES,그 녀석들 기억나? 저놈들이야!,그 녀석들 기억나 저놈들이야,english_reference,영어 참조 의미 대조 완료,,
4,english_reference_reviewed,HOW DID YOU BEAT MY BOYS,내 부하들을 어떻게 이긴 거냐?,내 부하들을 어떻게 이긴 거냐,english_reference,영어 참조 의미 대조 완료,,
5,english_reference_reviewed,YOU FIGHT LIKE A WUS,겁쟁이처럼 싸우는군,겁쟁이처럼 싸우는군,english_reference,영어 참조 의미 대조 완료,,
6,english_reference_reviewed,PLEASE LET ME JOIN YOU,나도 끼워 줘,나도 끼워 줘,english_reference,영어 참조 의미 대조 완료,,
7,english_reference_reviewed,HE AIN T NOTHIN,그 녀석은 아무것도 아니야,그 녀석은 아무것도 아니야,english_reference,영어 참조 의미 대조 완료,,
8,english_reference_reviewed,LET ME COME TOO,나도 같이 가자,나도 같이 가자,english_reference,영어 참조 의미 대조 완료,,dynamic_control_context
9,english_reference_reviewed,OK LET S FIGHT,"좋아, 우리도 싸우자",좋아 우리도 싸우자,english_reference,영문 의미와 제어 구조 검토 완료,,dynamic_control_context
10,english_reference_reviewed,I GIVE UP YOU RE TOO GOOD,항복이다! 네가 너무 강해,항복이다 네가 너무 강해,english_reference,영어 참조 의미 대조 완료,,
11,english_reference_reviewed,YOU AIN T SEEN NOTHIN YET,아직 진짜 실력을 못 봤다,아직 진짜 실력을 못 봤다,english_reference,영어 참조 의미 대조 완료,,
12,english_reference_reviewed,OK,좋아,좋아,english_reference,영어 참조 의미 대조 완료,,
13,english_reference_reviewed,LEMME KICK HIM,내가 저 녀석을 해치우지,내가 저 녀석을 해치우지,english_reference,영어 참조 의미 대조 완료,,
14,english_reference_reviewed,THANKS A LOT,정말 고맙다,정말 고맙다,english_reference,영어 참조 의미 대조 완료,,
15,english_reference_reviewed,ICHI WHO ARE YOU GUYS ANYWAY,너희는 대체 누구냐?,너희는 대체 누구냐,english_reference,영어 참조 의미 대조 완료,,
