candidate,reason,classification,disposition
Raw 0xBB outside verified records,"0xBB is a renderer-special speaker separator, not a Korean glyph slot. The three-record candidate preserves it unchanged.",control_token,Preserve it exactly; require a context capture before using it in another record.
Other Bank 1 pointer rows,"Pointer correspondence proves structure, not the active screen or Korean rendering route.",structural_only,"Keep as catalog candidates, not patch bytes."
Base-ROM Japanese glyph-looking bytes,The base Japanese dialogue glyph map is not fully decoded.,encoding_unknown,Do not treat byte resemblance as translatable text.
Dynamic CHR Bank 8 paging,The recorded opening page-switch and persistent-page probes failed at runtime.,failed_renderer_experiment,Excluded from the current fixed-Bank-7 opening path.
Opening autoplay route,A looping opening route proves neither later dialogue context nor combat progression.,invalid_discovery_method,Use it only as a bounded regression route for explicitly named opening records.
Dynamic menu selector,Template +0x21 / tile 0x7E changes independently of the static menu labels.,runtime_selector,Exclude from translation; prove cursor lifecycle separately.
Main-menu edge tile,Tile 0xB8 at template rows 24/26 column 28 is layout decoration beside the label grid.,layout_tile,Preserve it.
Unproven global Shift-JIS candidates,"No screen, pointer, or renderer context has been proven.",context_missing,Do not patch.
English reference SETTNG typo,"The reference spelling is a structural clue, not source text to copy.",reference_text,Do not copy it.
Historical 0x80-$9B main-menu R1 clone allocation,The first menu candidate reused code values present in the verified Items action row.,shared_mapper_page_conflict,Keep as a failed historical candidate; use the isolated code-pool allocation for the current soft-gated build.

Name/pre-pointer owner collision at ROM 0x0561B,"The English patch owns this offset as the name-table seed while the pre-pointer inventory also sees it as a static occurrence. The current composition accepts the English owner bytes and applies the explicit Items title/name owner only in the final title/NONE candidate.",owner_collision,Keep one explicit owner per candidate; never apply both patches blindly.
Pre-pointer glyph-pool overflow,"The current safe 0x9B-0xBF soft-gate pool cannot encode 78 additional rows without extending parser/control analysis.",capacity_unknown,Quarantine rows; extend only after code-level renderer probes.
Final candidate native screenshot,"FCEUX Lua GD screenshot artifacts are transparent in this environment.",visual_evidence_missing,Keep runtime byte PASS separate from visual release PASS.Pre-pointer parser low-nibble E/F path,"CPU parser at 0x825E masks the input code and diverts low-nibble 0x0E/0x0F before the direct glyph path.",parser_control_path,Exclude those low nibbles from the soft-gate pool.
Pre-pointer special controls,"Values 0xAC, 0xB0, and 0xBB are explicit parser controls in the observed pre-pointer path.",parser_control_code,Exclude these values from the soft-gate pool.
