frame	label	cpu_addr	value	active_expected_match	record_snapshot
646	opening_ptr_182_korean_proof	$B1A6	81	true	81 82 83 84 BB 00 85 86 87 CA F8 88 89 00 8C 8D 8E 00 8F 90 8E 91 CA 00 00 00 00 00 00 00 00 00 00 00 00 00 FF
648	opening_ptr_182_korean_proof	$B1A7	82	true	81 82 83 84 BB 00 85 86 87 CA F8 88 89 00 8C 8D 8E 00 8F 90 8E 91 CA 00 00 00 00 00 00 00 00 00 00 00 00 00 FF
650	opening_ptr_182_korean_proof	$B1A8	83	true	81 82 83 84 BB 00 85 86 87 CA F8 88 89 00 8C 8D 8E 00 8F 90 8E 91 CA 00 00 00 00 00 00 00 00 00 00 00 00 00 FF
652	opening_ptr_182_korean_proof	$B1A9	84	true	81 82 83 84 BB 00 85 86 87 CA F8 88 89 00 8C 8D 8E 00 8F 90 8E 91 CA 00 00 00 00 00 00 00 00 00 00 00 00 00 FF
654	opening_ptr_182_korean_proof	$B1AA	BB	true	81 82 83 84 BB 00 85 86 87 CA F8 88 89 00 8C 8D 8E 00 8F 90 8E 91 CA 00 00 00 00 00 00 00 00 00 00 00 00 00 FF
656	opening_ptr_182_korean_proof	$B1AB	00	true	81 82 83 84 BB 00 85 86 87 CA F8 88 89 00 8C 8D 8E 00 8F 90 8E 91 CA 00 00 00 00 00 00 00 00 00 00 00 00 00 FF
658	opening_ptr_182_korean_proof	$B1AC	85	true	81 82 83 84 BB 00 85 86 87 CA F8 88 89 00 8C 8D 8E 00 8F 90 8E 91 CA 00 00 00 00 00 00 00 00 00 00 00 00 00 FF
660	opening_ptr_182_korean_proof	$B1AD	86	true	81 82 83 84 BB 00 85 86 87 CA F8 88 89 00 8C 8D 8E 00 8F 90 8E 91 CA 00 00 00 00 00 00 00 00 00 00 00 00 00 FF
662	opening_ptr_182_korean_proof	$B1AE	87	true	81 82 83 84 BB 00 85 86 87 CA F8 88 89 00 8C 8D 8E 00 8F 90 8E 91 CA 00 00 00 00 00 00 00 00 00 00 00 00 00 FF
664	opening_ptr_182_korean_proof	$B1AF	CA	true	81 82 83 84 BB 00 85 86 87 CA F8 88 89 00 8C 8D 8E 00 8F 90 8E 91 CA 00 00 00 00 00 00 00 00 00 00 00 00 00 FF
666	opening_ptr_182_korean_proof	$B1B0	F8	true	81 82 83 84 BB 00 85 86 87 CA F8 88 89 00 8C 8D 8E 00 8F 90 8E 91 CA 00 00 00 00 00 00 00 00 00 00 00 00 00 FF
666	opening_ptr_182_korean_proof	$B1B1	88	true	81 82 83 84 BB 00 85 86 87 CA F8 88 89 00 8C 8D 8E 00 8F 90 8E 91 CA 00 00 00 00 00 00 00 00 00 00 00 00 00 FF
668	opening_ptr_182_korean_proof	$B1B2	89	true	81 82 83 84 BB 00 85 86 87 CA F8 88 89 00 8C 8D 8E 00 8F 90 8E 91 CA 00 00 00 00 00 00 00 00 00 00 00 00 00 FF
