selected,rom_offset,prg_bank,screen_context,label,category,source_japanese,korean,romaji,cpu_range,expected_bytes,active_expected_match,selection_reason
yes,0x0561A,1,fceux_input_explorer_v042 frame 883 dialogue screen,v04_watch_rom_0561a_스테이지_7c,스테이지,はし,다리,Hashi,$95BE-$960F,8B 8C,true,active on the same real dialogue screen; equal-length planned bytes; pointer-backed stage/location label
yes,0x0562F,1,fceux_input_explorer_v042 frame 883 dialogue screen,v04_watch_rom_0562f_보스_80,보스,たついち,타츠이치,Tatsuichi,$961A-$9623,89 98 8E 90,true,active on a real dialogue screen; equal-length planned bytes; boss/name context
yes,0x05643,1,fceux_input_explorer_v042 frame 883 dialogue screen,v04_watch_rom_05643_보스_80,보스,へいしち,헤이시치,Heishichi,$9633-$9637,8D 8E 8F 90,true,active on the same real dialogue screen; equal-length planned bytes; boss/name context
yes,0x0569D,1,fceux_input_explorer_v042 frame 883 dialogue screen,v04_watch_rom_0569d_스테이지_7a,스테이지,はし,다리,Hashi,$968C-$968F,8B 8C,true,active on the same real dialogue screen; equal-length planned bytes; encoding-exact stage/location label
yes,0x056DA,1,fceux_input_explorer_v042 frame 883 dialogue screen,v04_watch_rom_056da_스테이지_80,스테이지,はし,다리,Hashi,$96C5-$96CE,8B 8C,true,active on the same real dialogue screen; equal-length planned bytes; stage/location label
yes,0x0571C,1,fceux_input_explorer_v042 frame 883 dialogue screen,v04_watch_rom_0571c_스테이지_78,스테이지,はし,다리,Hashi,$9706-$9714,8B 8C,true,active on the same real dialogue screen; equal-length planned bytes; stage/location label
yes,0x057D4,1,fceux_input_explorer_v042 frame 883 dialogue screen,v04_watch_rom_057d4_스테이지_8c,스테이지,はし,다리,Hashi,$97C4-$97C8,8B 8C,true,active on the same real dialogue screen; equal-length planned bytes; pointer-backed stage/location label
quarantine,0x07227,1,fceux_input_explorer_v042 frame 883 dialogue screen,v04_rom_07227_candidate_84,무기,カタナ,카타나,Katana,$B216-$B21A,88 89 8A,true,"earlier runtime/PPU evidence was reproduced as a player/character-select context, not item-list visual proof; quarantine only"
yes,0x0736A,1,fceux_input_explorer_v042 frame 883 dialogue screen,v04_rom_0736a_candidate_93,UI,ライフ,라이프,Raifu,$B359-$B35E,96 8E 97,true,active on the same real dialogue screen; equal-length planned bytes; UI/status context
yes,0x0739D,1,fceux_input_explorer_v042 frame 883 dialogue screen,v04_rom_0739d_candidate_93,UI,ライフ,라이프,Raifu,$B38C-$B391,96 8E 97,true,active on the same real dialogue screen; equal-length planned bytes; UI/status context
yes-candidate,0x07897,1,English TSe-v10 direct-low renderer; runtime visual proof pending per context,GROWTH,direct-low-8x8,GROWTH,성장,English reference label,,07 12 0F 17 14 08,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x0789E,1,English TSe-v10 direct-low renderer; runtime visual proof pending per context,RATES,direct-low-8x8,RATES,비,English reference label,,12 01 14 05 13,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x078A4,1,English TSe-v10 direct-low renderer; runtime visual proof pending per context,LEFTEND,direct-low-8x8,LEFTEND,끝,English reference label,,0C 05 06 14 05 0E 04,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x0FC31,3,English TSe-v10 direct-low renderer; runtime visual proof pending per context,NONE,direct-low-8x8,NONE,공,English reference label,,0E 0F 0E 05,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x136DA,4,English TSe-v10 direct-low renderer; runtime visual proof pending per context,TECHNOS,direct-low-8x8,TECHNOS,기술사,English reference label,,14 05 03 08 0E 0F 13,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x136E2,4,English TSe-v10 direct-low renderer; runtime visual proof pending per context,JAPAN,direct-low-8x8,JAPAN,일,English reference label,,0A 01 10 01 0E,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x136E8,4,English TSe-v10 direct-low renderer; runtime visual proof pending per context,CORP,direct-low-8x8,CORP,회사,English reference label,,03 0F 12 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x13AE3,4,English TSe-v10 direct-low renderer; runtime visual proof pending per context,PLAYER,direct-low-8x8,PLAYER,선수,English reference label,,10 0C 01 19 05 12,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x13AEB,4,English TSe-v10 direct-low renderer; runtime visual proof pending per context,PLAYER,direct-low-8x8,PLAYER,선수,English reference label,,10 0C 01 19 05 12,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A2EF,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,MENU,direct-low-8x8,MENU,메,English reference label,,0D 05 0E 15,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A778,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,FOOD,direct-low-8x8,FOOD,밥,English reference label,,06 0F 0F 04,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A786,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,HEALER,direct-low-8x8,HEALER,치료,English reference label,,08 05 01 0C 05 12,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A790,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,TECH,direct-low-8x8,TECH,기술,English reference label,,14 05 03 08,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A798,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,FOOD,direct-low-8x8,FOOD,밥,English reference label,,06 0F 0F 04,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A7A0,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A7A6,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,CHANCE,direct-low-8x8,CHANCE,기회,English reference label,,03 08 01 0E 03 05,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A7B0,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,FOOD,direct-low-8x8,FOOD,밥,English reference label,,06 0F 0F 04,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A7BA,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOPBUNZO,direct-low-8x8,SHOPBUNZO,분조가게,English reference label,,13 08 0F 10 02 15 0E 1A 0F,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A7CA,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A7D0,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,FOOD,direct-low-8x8,FOOD,밥,English reference label,,06 0F 0F 04,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A7DA,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A7E2,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A7EA,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A7F2,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A7FA,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A802,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A80A,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A812,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A81A,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A822,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A82A,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A832,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A83A,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A842,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A84A,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1A852,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SHOP,direct-low-8x8,SHOP,가게,English reference label,,13 08 0F 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1BB4A,6,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SAVED,direct-low-8x8,SAVED,장,English reference label,,13 01 16 05 04,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C914,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,FIST,direct-low-8x8,FIST,주먹,English reference label,,06 09 13 14,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C920,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,KICK,direct-low-8x8,KICK,타,English reference label,,0B 09 03 0B,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C937,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,TORP,direct-low-8x8,TORP,어뢰,English reference label,,14 0F 12 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C943,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,ATTACK,direct-low-8x8,ATTACK,공,English reference label,,01 14 14 01 03 0B,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C951,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,FUMI,direct-low-8x8,FUMI,기술,English reference label,,06 15 0D 09,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C95D,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,GUARD,direct-low-8x8,GUARD,방어,English reference label,,07 15 01 12 04,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C968,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SCREW,direct-low-8x8,SCREW,회,English reference label,,13 03 12 05 17,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C973,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,TORNADO,direct-low-8x8,TORNADO,회리,English reference label,,14 0F 12 0E 01 04 0F,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C982,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,TORP,direct-low-8x8,TORP,어뢰,English reference label,,14 0F 12 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C98C,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,HELICPTR,direct-low-8x8,HELICPTR,헬기,English reference label,,08 05 0C 09 03 10 14 12,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C99A,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,DRILL,direct-low-8x8,DRILL,드릴,English reference label,,04 12 09 0C 0C,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C9A5,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SLAP,direct-low-8x8,SLAP,타,English reference label,,13 0C 01 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C9B2,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,DAGGR,direct-low-8x8,DAGGR,검,English reference label,,04 01 07 07 12,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C9C0,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,HEADBUTT,direct-low-8x8,HEADBUTT,박치기,English reference label,,08 05 01 04 02 15 14 14,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C9CE,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,BMPKNART,direct-low-8x8,BMPKNART,기술,English reference label,,02 0D 10 0B 0E 01 12 14,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C9DE,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,FIST,direct-low-8x8,FIST,주먹,English reference label,,06 09 13 14,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C9EB,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,KICK,direct-low-8x8,KICK,타,English reference label,,0B 09 03 0B,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1C9F6,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SCREW,direct-low-8x8,SCREW,회,English reference label,,13 03 12 05 17,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CA02,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,MASSAGE,direct-low-8x8,MASSAGE,안마,English reference label,,0D 01 13 13 01 07 05,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CA0F,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,BIGBANG,direct-low-8x8,BIGBANG,빅뱅,English reference label,,02 09 07 02 01 0E 07,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CA1C,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,WARPSHOT,direct-low-8x8,WARPSHOT,파,English reference label,,17 01 12 10 13 08 0F 14,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CA2A,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,DEFLECT,direct-low-8x8,DEFLECT,사,English reference label,,04 05 06 0C 05 03 14,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CA39,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,KIUKIU,direct-low-8x8,KIUKIU,키키,English reference label,,0B 09 15 0B 09 15,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CA47,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SWING,direct-low-8x8,SWING,회전,English reference label,,13 17 09 0E 07,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CA52,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,PICKLE,direct-low-8x8,PICKLE,피클,English reference label,,10 09 03 0B 0C 05,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CA5E,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,MEAL,direct-low-8x8,MEAL,밥,English reference label,,0D 05 01 0C,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CA68,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SOBA,direct-low-8x8,SOBA,소,English reference label,,13 0F 02 01,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CA72,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,UDON,direct-low-8x8,UDON,동,English reference label,,15 04 0F 0E,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CA7C,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SOUP,direct-low-8x8,SOUP,물,English reference label,,13 0F 15 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CA8F,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,FISH,direct-low-8x8,FISH,생선,English reference label,,06 09 13 08,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CA99,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,TENPURA,direct-low-8x8,TENPURA,전,English reference label,,14 05 0E 10 15 12 01,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CAA6,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,DANGO,direct-low-8x8,DANGO,고,English reference label,,04 01 0E 07 0F,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CAB1,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,RICEBALL,direct-low-8x8,RICEBALL,주먹밥,English reference label,,12 09 03 05 02 01 0C 0C,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CABF,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,MANJUU,direct-low-8x8,MANJUU,과자,English reference label,,0D 01 0E 0A 15 15,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CACB,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SUSHI,direct-low-8x8,SUSHI,밥,English reference label,,13 15 13 08 09,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CAD6,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SALVE,direct-low-8x8,SALVE,고,English reference label,,13 01 0C 16 05,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CAE1,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,POULTICE,direct-low-8x8,POULTICE,약,English reference label,,10 0F 15 0C 14 09 03 05,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CAEF,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,TONIC,direct-low-8x8,TONIC,강장제,English reference label,,14 0F 0E 09 03,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CAFB,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,TOYAMA,direct-low-8x8,TOYAMA,도야마,English reference label,,14 0F 19 01 0D 01,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CB07,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,ELIXIR,direct-low-8x8,ELIXIR,약,English reference label,,05 0C 09 18 09 12,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CB14,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,COTTON,direct-low-8x8,COTTON,소,English reference label,,03 0F 14 14 0F 0E,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CB21,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,COTTON,direct-low-8x8,COTTON,소,English reference label,,03 0F 14 14 0F 0E,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CB2E,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,LONG,direct-low-8x8,LONG,길게,English reference label,,0C 0F 0E 07,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
